"Date","Price","Open","High","Low","Change %"
"Mar 15, 2021","0.7190","0.7203","0.7219","0.7160","-0.40%"
"Mar 12, 2021","0.7219","0.7201","0.7223","0.7187","0.31%"
"Mar 11, 2021","0.7197","0.7192","0.7226","0.7176","0.10%"
"Mar 10, 2021","0.7190","0.7158","0.7197","0.7135","0.53%"
"Mar 09, 2021","0.7152","0.7168","0.7200","0.7143","-0.15%"
"Mar 08, 2021","0.7163","0.7158","0.7189","0.7133","0.11%"
"Mar 05, 2021","0.7155","0.7178","0.7181","0.7087","-0.25%"
"Mar 04, 2021","0.7173","0.7153","0.7231","0.7131","0.31%"
"Mar 03, 2021","0.7151","0.7157","0.7181","0.7135","-0.01%"
"Mar 02, 2021","0.7152","0.7115","0.7171","0.7084","0.63%"
"Mar 01, 2021","0.7107","0.7006","0.7125","0.6981","1.56%"
"Feb 26, 2021","0.6998","0.7121","0.7135","0.6995","-1.70%"
"Feb 25, 2021","0.7119","0.7223","0.7262","0.7119","-1.40%"
"Feb 24, 2021","0.7220","0.7161","0.7230","0.7149","0.85%"
"Feb 23, 2021","0.7159","0.7095","0.7169","0.7081","0.94%"
"Feb 22, 2021","0.7092","0.7048","0.7102","0.7041","0.57%"
"Feb 19, 2021","0.7052","0.6959","0.7059","0.6955","1.37%"
"Feb 18, 2021","0.6957","0.6967","0.6984","0.6940","-0.09%"
"Feb 17, 2021","0.6963","0.6923","0.6970","0.6909","0.62%"
"Feb 16, 2021","0.6920","0.6927","0.6939","0.6906","-0.06%"
"Feb 15, 2021","0.6924","0.6913","0.6941","0.6909","0.19%"
"Feb 12, 2021","0.6911","0.6899","0.6925","0.6884","0.20%"
"Feb 11, 2021","0.6897","0.6874","0.6917","0.6867","0.36%"
"Feb 10, 2021","0.6872","0.6908","0.6913","0.6870","-0.45%"
"Feb 09, 2021","0.6903","0.6924","0.6935","0.6890","-0.23%"
"Feb 08, 2021","0.6919","0.6909","0.6936","0.6881","0.28%"
"Feb 05, 2021","0.6900","0.6874","0.6906","0.6858","0.41%"
"Feb 04, 2021","0.6872","0.6850","0.6888","0.6847","0.37%"
"Feb 03, 2021","0.6847","0.6826","0.6858","0.6823","0.32%"
"Feb 02, 2021","0.6825","0.6836","0.6866","0.6801","-0.12%"
"Feb 01, 2021","0.6833","0.6808","0.6856","0.6780","0.43%"
"Jan 29, 2021","0.6804","0.6827","0.6841","0.6791","-0.29%"
"Jan 28, 2021","0.6824","0.6811","0.6834","0.6751","0.24%"
"Jan 27, 2021","0.6808","0.6866","0.6884","0.6798","-0.83%"
"Jan 26, 2021","0.6865","0.6848","0.6881","0.6820","0.28%"
"Jan 25, 2021","0.6846","0.6838","0.6862","0.6819","0.23%"
"Jan 22, 2021","0.6830","0.6872","0.6884","0.6817","-0.60%"
"Jan 21, 2021","0.6871","0.6892","0.6914","0.6862","-0.28%"
"Jan 20, 2021","0.6890","0.6840","0.6907","0.6834","0.79%"
"Jan 19, 2021","0.6836","0.6841","0.6878","0.6830","-0.04%"
"Jan 18, 2021","0.6839","0.6870","0.6877","0.6826","-0.31%"
"Jan 15, 2021","0.6860","0.6909","0.6916","0.6832","-0.67%"
"Jan 14, 2021","0.6906","0.6866","0.6922","0.6860","0.63%"
"Jan 13, 2021","0.6863","0.6889","0.6897","0.6856","-0.33%"
"Jan 12, 2021","0.6886","0.6852","0.6895","0.6849","0.48%"
"Jan 11, 2021","0.6853","0.6869","0.6885","0.6833","-0.25%"
"Jan 08, 2021","0.6870","0.6873","0.6899","0.6858","-0.07%"
"Jan 07, 2021","0.6875","0.6854","0.6883","0.6831","0.34%"
"Jan 06, 2021","0.6852","0.6816","0.6873","0.6801","0.59%"
"Jan 05, 2021","0.6812","0.6758","0.6830","0.6750","0.87%"
"Jan 04, 2021","0.6753","0.6819","0.6833","0.6733","-0.97%"
"Jan 01, 2021","0.6819","0.6812","0.6909","0.6809","-0.04%"
"Dec 31, 2020","0.6822","0.6780","0.6909","0.6776","0.76%"
"Dec 30, 2020","0.6770","0.6724","0.6792","0.6719","0.67%"
"Dec 29, 2020","0.6725","0.6740","0.6750","0.6718","-0.19%"
"Dec 28, 2020","0.6738","0.6741","0.6783","0.6724","-0.25%"
"Dec 25, 2020","0.6755","0.6763","0.6777","0.6745","-0.04%"
"Dec 24, 2020","0.6758","0.6726","0.6782","0.6722","0.54%"
"Dec 23, 2020","0.6722","0.6693","0.6751","0.6684","0.46%"
"Dec 22, 2020","0.6691","0.6718","0.6727","0.6675","-0.39%"
"Dec 21, 2020","0.6717","0.6712","0.6737","0.6651","-0.25%"
"Dec 18, 2020","0.6734","0.6743","0.6750","0.6707","-0.07%"
"Dec 17, 2020","0.6739","0.6711","0.6755","0.6698","0.49%"
"Dec 16, 2020","0.6706","0.6696","0.6715","0.6679","0.21%"
"Dec 15, 2020","0.6692","0.6684","0.6708","0.6653","0.18%"
"Dec 14, 2020","0.6680","0.6706","0.6729","0.6678","-0.28%"
"Dec 11, 2020","0.6699","0.6672","0.6720","0.6662","0.39%"
"Dec 10, 2020","0.6673","0.6623","0.6690","0.6602","0.80%"
"Dec 09, 2020","0.6620","0.6590","0.6654","0.6581","0.49%"
"Dec 08, 2020","0.6588","0.6611","0.6621","0.6579","-0.29%"
"Dec 07, 2020","0.6607","0.6634","0.6637","0.6582","-0.20%"
"Dec 04, 2020","0.6620","0.6629","0.6636","0.6595","-0.09%"
"Dec 03, 2020","0.6626","0.6634","0.6646","0.6615","-0.09%"
"Dec 02, 2020","0.6632","0.6632","0.6656","0.6589","0.03%"
"Dec 01, 2020","0.6630","0.6678","0.6692","0.6619","-0.70%"
"Nov 30, 2020","0.6677","0.6685","0.6697","0.6649","-0.01%"
"Nov 27, 2020","0.6678","0.6676","0.6701","0.6661","0.10%"
"Nov 26, 2020","0.6671","0.6688","0.6697","0.6666","-0.22%"
"Nov 25, 2020","0.6686","0.6708","0.6718","0.6668","-0.30%"
