Date,High,Low,Last,Bid,Ask,Volume,VWAP
2021-03-15,60748.78,54555.0,56196.91,56174.41,56188.7,7685.25550115,57252.07
2021-03-14,61781.83,56080.96,61161.9,61161.9,61200.22,6188.20230169,59670.32
2021-03-13,58098.5,55011.0,57271.04,57257.21,57280.28,5232.25870821,56711.96
2021-03-12,58155.99,54269.0,57881.67,57847.33,57877.59,6637.5147919,56339.04
2021-03-11,57402.89,53010.0,55853.9,55914.6,55920.2,6919.36136236,55654.58
2021-03-10,54939.26,51857.0,54927.29,54901.04,54927.49,5427.77772045,53979.93
2021-03-09,52427.91,49316.98,52427.91,52432.31,52439.0,4420.54681422,50857.11
2021-03-08,51477.53,48933.12,50980.22,50980.33,51020.02,2818.63326281,50422.52
2021-03-07,49200.0,47082.29,48904.63,48920.38,48933.12,2141.06029528,48292.47
2021-03-06,49471.24,46294.0,48786.85,48766.18,48805.01,5219.27490875,47653.45
2021-03-05,51817.54,47500.0,48360.5,48344.51,48366.49,5641.17539501,49267.08
2021-03-04,52652.82,48168.45,50388.21,50360.31,50392.77,6151.92389322,50862.18
2021-03-03,50250.0,47069.52,48516.35,48458.33,48495.3,4945.78705692,48588.25
2021-03-02,49831.52,45020.25,49641.89,49624.71,49641.89,8512.7611878,47992.14
2021-03-01,46659.88,43021.0,45240.96,45209.39,45246.75,6668.90971403,44551.56
2021-02-28,48365.31,45050.0,46109.98,46150.46,46174.57,3071.50865544,46952.93
2021-02-27,48476.62,44151.97,46338.9,46327.73,46364.88,8127.87699763,46464.79
2021-02-26,52079.16,46723.0,47080.52,47018.39,47080.46,7920.1703802,49832.13
2021-02-25,51459.51,47000.0,49736.37,49716.76,49736.37,8774.91852615,49869.76
2021-02-24,54196.57,44845.72,48887.93,48885.27,48916.94,17764.16674864,48392.11
2021-02-23,57564.19,47400.0,54163.39,54147.2,54196.57,17004.17113112,53588.31
2021-02-22,58354.14,55537.99,57501.9,57501.41,57509.74,3563.505818,57157.89
2021-02-21,57553.81,54000.0,55919.75,55912.47,55928.67,5186.37659819,56335.5
2021-02-20,56399.99,50627.32,56022.44,55991.0,56034.83,9229.05365548,53880.79
2021-02-19,52566.98,50869.61,51634.28,51591.07,51634.28,6332.20157764,51850.58
2021-02-18,52640.0,48896.19,52187.08,52187.08,52213.15,9571.91565934,51000.43
2021-02-17,50602.53,47036.02,49136.7,49153.12,49187.51,8376.04347599,48997.84
