"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 15, 2021","56,900.0","58,755.0","61,255.0","54,915.0","10.37K","-4.45%"
"Mar 14, 2021","59,550.0","57,180.0","61,252.5","57,180.0","-","4.34%"
"Mar 12, 2021","57,075.0","58,365.0","58,725.0","55,380.0","7.97K","-1.52%"
"Mar 11, 2021","57,955.0","56,980.0","58,390.0","54,685.0","7.79K","2.36%"
"Mar 10, 2021","56,620.0","54,530.0","57,815.0","53,430.0","7.10K","3.47%"
"Mar 09, 2021","54,720.0","51,995.0","55,265.0","51,895.0","5.57K","4.94%"
"Mar 08, 2021","52,145.0","50,580.0","52,425.0","49,500.0","7.53K","1.39%"
"Mar 07, 2021","51,430.0","49,372.5","51,957.5","49,372.5","-","3.78%"
"Mar 05, 2021","49,555.0","48,125.0","49,745.0","46,295.0","8.93K","2.58%"
"Mar 04, 2021","48,310.0","50,970.0","52,190.0","47,425.0","11.80K","-5.09%"
"Mar 03, 2021","50,900.0","48,035.0","53,000.0","47,955.0","6.34K","6.44%"
"Mar 02, 2021","47,820.0","49,425.0","50,550.0","47,245.0","5.99K","-2.15%"
"Mar 01, 2021","48,870.0","45,500.0","49,985.0","45,150.0","7.20K","7.35%"
"Feb 28, 2021","45,522.5","45,700.0","46,125.0","45,160.0","-","-3.15%"
"Feb 26, 2021","47,001.6","48,165.0","48,300.0","44,270.0","0.75K","-4.31%"
"Feb 25, 2021","49,120.0","48,810.0","52,040.0","48,010.0","7.07K","-0.03%"
"Feb 24, 2021","49,135.0","48,450.0","51,310.0","47,010.0","8.08K","3.09%"
"Feb 23, 2021","47,660.0","54,515.0","54,515.0","44,900.0","18.21K","-11.28%"
"Feb 22, 2021","53,720.0","57,450.0","57,790.0","48,320.0","18.52K","-8.20%"
"Feb 21, 2021","58,520.0","57,920.0","58,580.0","57,920.0","-","5.38%"
"Feb 19, 2021","55,530.0","52,035.0","56,575.0","50,695.0","11.46K","6.09%"
"Feb 18, 2021","52,340.0","52,680.0","53,080.0","51,250.0","8.34K","-0.84%"
"Feb 17, 2021","52,785.0","49,300.0","53,210.0","49,115.0","9.78K","7.89%"
"Feb 16, 2021","48,925.0","49,415.0","51,065.0","45,950.0","15.41K","1.32%"
"Feb 15, 2021","48,287.5","49,000.0","49,490.0","46,005.0","-","-1.47%"
"Feb 14, 2021","49,007.5","48,440.0","49,492.5","48,440.0","-","2.01%"
"Feb 12, 2021","48,040.0","48,000.0","49,500.0","46,500.0","7.53K","1.08%"
"Feb 11, 2021","47,525.0","45,615.0","49,215.0","44,345.0","9.07K","5.81%"
"Feb 10, 2021","44,915.0","47,500.0","48,060.0","43,950.0","9.74K","-5.97%"
"Feb 09, 2021","47,765.0","45,210.0","48,885.0","45,175.0","11.11K","6.73%"
"Feb 08, 2021","44,755.0","39,025.0","45,500.0","38,305.0","14.37K","14.18%"
"Feb 07, 2021","39,197.5","37,875.0","39,457.5","37,875.0","-","3.11%"
"Feb 05, 2021","38,015.0","37,700.0","38,755.0","36,895.0","4.77K","0.26%"
"Feb 04, 2021","37,915.0","37,660.0","39,200.0","36,435.0","6.04K","1.40%"
"Feb 03, 2021","37,390.0","36,015.0","37,790.0","35,740.0","4.81K","3.37%"
"Feb 02, 2021","36,170.0","33,680.0","36,370.0","33,605.0","5.83K","6.38%"
"Feb 01, 2021","34,000.0","33,315.0","35,005.0","32,530.0","6.29K","1.97%"
"Jan 31, 2021","33,342.5","34,232.5","34,330.0","33,060.0","-","-10.47%"
"Jan 29, 2021","37,242.3","33,515.0","38,755.0","32,000.0","-","14.07%"
"Jan 28, 2021","32,650.0","30,640.0","33,355.0","29,860.0","7.27K","3.73%"
"Jan 27, 2021","31,475.0","32,655.0","32,925.0","29,075.0","13.65K","-1.49%"
"Jan 26, 2021","31,950.0","32,665.0","32,845.0","30,800.0","8.49K","-4.46%"
