"Date","Price","Open","High","Low","Change %"
"Mar 15, 2021","1.7322","1.7354","1.7388","1.7305","-0.23%"
"Mar 12, 2021","1.7362","1.7526","1.7545","1.7340","-0.92%"
"Mar 11, 2021","1.7524","1.7577","1.7598","1.7514","-0.26%"
"Mar 10, 2021","1.7570","1.7558","1.7608","1.7528","0.10%"
"Mar 09, 2021","1.7552","1.7508","1.7594","1.7473","0.29%"
"Mar 08, 2021","1.7501","1.7522","1.7569","1.7476","-0.09%"
"Mar 05, 2021","1.7516","1.7600","1.7621","1.7479","-0.46%"
"Mar 04, 2021","1.7597","1.7659","1.7684","1.7571","-0.33%"
"Mar 03, 2021","1.7655","1.7629","1.7673","1.7599","0.18%"
"Mar 02, 2021","1.7624","1.7609","1.7652","1.7557","0.13%"
"Mar 01, 2021","1.7601","1.7754","1.7781","1.7599","-0.83%"
"Feb 26, 2021","1.7748","1.7660","1.7767","1.7548","0.53%"
"Feb 25, 2021","1.7655","1.7694","1.7717","1.7616","-0.19%"
"Feb 24, 2021","1.7688","1.7763","1.7882","1.7666","-0.41%"
"Feb 23, 2021","1.7760","1.7738","1.7788","1.7706","0.14%"
"Feb 22, 2021","1.7735","1.7691","1.7756","1.7649","0.36%"
"Feb 19, 2021","1.7672","1.7720","1.7748","1.7652","-0.22%"
"Feb 18, 2021","1.7711","1.7601","1.7754","1.7579","0.68%"
"Feb 17, 2021","1.7591","1.7645","1.7659","1.7587","-0.25%"
"Feb 16, 2021","1.7635","1.7573","1.7671","1.7570","0.36%"
"Feb 15, 2021","1.7571","1.7573","1.7630","1.7559","0.01%"
"Feb 12, 2021","1.7570","1.7555","1.7617","1.7533","0.13%"
"Feb 11, 2021","1.7548","1.7565","1.7583","1.7506","-0.07%"
"Feb 10, 2021","1.7560","1.7538","1.7598","1.7523","0.15%"
"Feb 09, 2021","1.7534","1.7503","1.7596","1.7496","0.20%"
"Feb 08, 2021","1.7499","1.7508","1.7537","1.7474","-0.07%"
"Feb 05, 2021","1.7511","1.7539","1.7571","1.7497","-0.12%"
"Feb 04, 2021","1.7532","1.7447","1.7553","1.7346","0.52%"
"Feb 03, 2021","1.7441","1.7465","1.7489","1.7414","-0.13%"
"Feb 02, 2021","1.7464","1.7559","1.7578","1.7463","-0.51%"
"Feb 01, 2021","1.7553","1.7522","1.7579","1.7500","0.29%"
"Jan 29, 2021","1.7503","1.7603","1.7649","1.7474","-0.55%"
"Jan 28, 2021","1.7599","1.7521","1.7616","1.7505","0.49%"
"Jan 27, 2021","1.7513","1.7436","1.7546","1.7424","0.45%"
"Jan 26, 2021","1.7435","1.7421","1.7468","1.7378","0.10%"
"Jan 25, 2021","1.7418","1.7414","1.7450","1.7366","-0.05%"
"Jan 22, 2021","1.7427","1.7355","1.7438","1.7318","0.46%"
"Jan 21, 2021","1.7348","1.7256","1.7368","1.7239","0.61%"
"Jan 20, 2021","1.7242","1.7362","1.7421","1.7196","-0.65%"
"Jan 19, 2021","1.7355","1.7331","1.7378","1.7298","0.17%"
"Jan 18, 2021","1.7326","1.7304","1.7352","1.7291","0.16%"
"Jan 15, 2021","1.7298","1.7298","1.7343","1.7270","0.02%"
"Jan 14, 2021","1.7294","1.7318","1.7346","1.7270","-0.10%"
"Jan 13, 2021","1.7311","1.7371","1.7438","1.7282","-0.32%"
"Jan 12, 2021","1.7367","1.7279","1.7402","1.7256","0.52%"
"Jan 11, 2021","1.7278","1.7215","1.7300","1.7194","0.44%"
"Jan 08, 2021","1.7202","1.7216","1.7277","1.7184","-0.03%"
"Jan 07, 2021","1.7207","1.7249","1.7306","1.7184","-0.23%"
"Jan 06, 2021","1.7246","1.7263","1.7316","1.7191","-0.05%"
"Jan 05, 2021","1.7254","1.7343","1.7365","1.7243","-0.48%"
"Jan 04, 2021","1.7337","1.7390","1.7415","1.7241","-0.36%"
"Jan 01, 2021","1.7399","1.7410","1.7421","1.7399","-0.04%"
"Dec 31, 2020","1.7406","1.7385","1.7448","1.7345","0.16%"
"Dec 30, 2020","1.7379","1.7307","1.7413","1.7292","0.44%"
"Dec 29, 2020","1.7303","1.7279","1.7332","1.7254","0.16%"
"Dec 28, 2020","1.7275","1.7442","1.7463","1.7253","-0.92%"
"Dec 25, 2020","1.7435","1.7448","1.7484","1.7426","-0.04%"
"Dec 24, 2020","1.7442","1.7337","1.7487","1.7329","0.65%"
