"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 15, 2021","91.83","91.66","91.96","91.54","-","0.17%"
"Mar 12, 2021","91.68","91.43","91.96","91.40","-","0.28%"
"Mar 11, 2021","91.42","91.79","91.88","91.36","-","-0.44%"
"Mar 10, 2021","91.82","92.05","92.24","91.77","-","-0.15%"
"Mar 09, 2021","91.96","92.46","92.50","91.91","-","-0.38%"
"Mar 08, 2021","92.31","91.99","92.42","91.84","-","0.37%"
"Mar 05, 2021","91.98","91.66","92.19","91.62","-","0.38%"
"Mar 04, 2021","91.63","91.01","91.67","90.97","-","0.75%"
"Mar 03, 2021","90.95","90.79","91.06","90.63","-","0.18%"
"Mar 02, 2021","90.79","91.03","91.39","90.72","-","-0.28%"
"Mar 01, 2021","91.04","90.93","91.14","90.69","-","0.18%"
"Feb 26, 2021","90.88","90.36","90.97","90.13","-","0.83%"
"Feb 25, 2021","90.13","90.07","90.29","89.68","-","-0.05%"
"Feb 24, 2021","90.18","90.10","90.43","89.98","-","0.01%"
"Feb 23, 2021","90.17","90.02","90.26","89.94","-","0.18%"
"Feb 22, 2021","90.01","90.34","90.57","90.00","-","-0.39%"
"Feb 19, 2021","90.36","90.57","90.65","90.18","-","-0.25%"
"Feb 18, 2021","90.59","90.90","90.98","90.54","-","-0.39%"
"Feb 17, 2021","90.95","90.71","91.06","90.62","-","0.49%"
"Feb 16, 2021","90.51","90.29","90.65","90.12","-","0.03%"
"Feb 15, 2021","90.48","90.45","90.48","90.27","-","0.00%"
"Feb 12, 2021","90.48","90.41","90.74","90.38","-","0.07%"
"Feb 11, 2021","90.42","90.46","90.47","90.26","-","0.05%"
"Feb 10, 2021","90.37","90.49","90.53","90.25","-","-0.08%"
"Feb 09, 2021","90.44","90.91","90.93","90.43","-","-0.54%"
"Feb 08, 2021","90.93","91.00","91.24","90.90","-","-0.12%"
"Feb 05, 2021","91.04","91.49","91.60","90.98","-","-0.53%"
"Feb 04, 2021","91.53","91.09","91.58","91.08","-","0.39%"
"Feb 03, 2021","91.17","91.05","91.31","90.99","-","-0.03%"
"Feb 02, 2021","91.20","91.00","91.29","90.80","-","0.24%"
"Feb 01, 2021","90.98","90.53","91.06","90.50","-","0.44%"
"Jan 29, 2021","90.58","90.56","90.78","90.36","-","0.14%"
"Jan 28, 2021","90.46","90.73","90.86","90.40","-","-0.21%"
"Jan 27, 2021","90.65","90.15","90.88","90.15","-","0.53%"
"Jan 26, 2021","90.17","90.39","90.61","90.12","-","-0.24%"
"Jan 25, 2021","90.39","90.23","90.52","90.08","-","0.17%"
"Jan 22, 2021","90.24","90.05","90.31","90.05","-","0.12%"
"Jan 21, 2021","90.13","90.42","90.45","90.05","-","-0.38%"
"Jan 20, 2021","90.47","90.41","90.70","90.28","-","-0.03%"
"Jan 19, 2021","90.50","90.73","90.76","90.40","-","-0.29%"
"Jan 18, 2021","90.76","90.78","90.95","90.71","-","-0.01%"
"Jan 15, 2021","90.77","90.22","90.80","90.22","-","0.59%"
